site,avg_high,avg_high_date,avg_low,avg_low_date
centennialpark,14.687708333333333,2025-06-10,0,2025-05-26
edmonds,15.8346875,2025-05-11,5.804375,2025-10-10
jeffersonhead,14.981354166666666,2025-04-20,3.9871875,2025-08-11
wingpoint,16.5528125,2025-05-10,7.071875,2025-09-14
