site,avg_high,avg_high_date,avg_low,avg_low_date
centennialpark,14.125260416666666,2025-08-06,8.5766875,2025-03-20
edmonds,14.400614583333333,2025-08-04,8.450703125,2025-02-14
jeffersonhead,14.918229166666666,2025-09-04,8.084765625,2025-02-13
wingpoint,16.603620689655173,2025-07-30,8.246286458333334,2025-01-26
