site,avg_high,avg_high_date,avg_low,avg_low_date
centennialpark,15.7874375,2025-08-05,7.80709375,2025-01-21
edmonds,14.961270833333334,2025-08-05,8.259302083333333,2025-02-11
jeffersonhead,16.071875,2025-06-10,8.01334375,2025-02-13
wingpoint,15.928125,2025-07-08,8.132572916666666,2025-01-27
